,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
26,theapplehub,0.0,1.0,0.0,0.0,2022-10-05 19:50:17+00:00,SahilBloom,"Steve Jobs passed away 11 years ago today.

His 2005 commencement speech at Stanford University is a treasure trove of his wisdom.

7 quotes and lessons from the incredible speech: https://t.co/8jhhaAKnhh",116,1262,6154
27,JonErlichman,0.0,0.935,0.065,0.25,2022-10-05 15:44:51+00:00,theapplehub,Today marks eleven years since Steve Jobs passed away 😢 https://t.co/14r7rtOoyz,55,750,5883
28,ValaAfshar,0.0,1.0,0.0,0.0,2022-10-03 23:39:00+00:00,JonErlichman,"“Most people never pick up the phone and call. And that’s what separates sometimes the people who do things from the people who just dream about them.”

~Steve Jobs
https://t.co/1rCTYWkRas",77,1372,7636
29,ultimatemax1,0.266,0.734,0.0,-0.822,2022-10-01 03:31:32+00:00,ValaAfshar,"Your time is limited, so do not waste it living someone else’s life.

Do not let the noise of others’ opinions drown out your own inner voice. 

And most important, have the courage to follow your heart and intuition. —Steve Jobs https://t.co/HuWzT0eyDH",47,820,3558
30,OvOBrezzzy,0.0,0.943,0.057,0.25,2022-09-29 00:50:15+00:00,ultimatemax1,@not_chase_ek @electrolemon You could ask her “It’s so sad that Steve Jobs died of ligma” and she would legitimately ask “Who’s Steve Jobs?”,2,26,4312
31,Rainmaker1973,0.198,0.745,0.057,-0.802,2022-09-26 14:23:00+00:00,UberFacts,"When a secretary at Apple was late because of car trouble, Steve Jobs gave her a Jaguar and said, ""Don't be late anymore""",87,300,5728
32,asIiceofhistory,0.0,0.868,0.132,0.6249,2022-09-24 14:10:19+00:00,JonErlichman,Steve Jobs’ “insanely great” job offer: https://t.co/SvttmHGBbl,104,614,6905
33,vanschneider,0.0,1.0,0.0,0.0,2022-09-22 17:42:43+00:00,OvOBrezzzy,Steve Jobs was 21 when he founded apple bill gates was only 20 when he started Microsoft mark Zuckerberg was only 19 when he created Facebook it’s too late. You need to give up,1176,28526,264541
34,olsencassidy,0.0,0.621,0.379,0.6249,2022-09-20 19:22:20+00:00,ValaAfshar,A marketing masterclass by Steve Jobs https://t.co/I2kMipVg3n,64,1541,5490
35,waitbutwhy,0.0,1.0,0.0,0.0,2022-09-19 14:00:11+00:00,Rainmaker1973,"The story of Dennis Ritchie, the man who invented C, co-created Unix, and is largely regarded as effectively influencing every software system we use on a daily basis. His  death was largely ignored, overshadowed by Steve Jobs' death, one week before https://t.co/QN6iW54RQF https://t.co/AZauoEuBjm",42,636,3825
36,andykreed,0.0,0.944,0.056,0.25,2022-09-19 00:31:13+00:00,FoundersPodcast,Steve Jobs on death and decision making: https://t.co/Jb5ZzJYJ2a,50,673,3191
37,pusholder,0.0,1.0,0.0,0.0,2022-09-18 22:28:00+00:00,UberFacts,"The first public call made from an iPhone was made by Steve Jobs

He called a Starbucks and ordered 4,000 lattes; then said 'just kidding' and hung up",21,225,2909
38,Darkwebhaber,0.0,1.0,0.0,0.0,2022-09-18 03:41:26+00:00,asIiceofhistory,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should listen: https://t.co/9alaJwTVsD",77,1436,6526
39,johngreen,0.137,0.863,0.0,-0.2263,2022-09-16 20:01:36+00:00,vanschneider,— Steve Jobs https://t.co/IbbItfDOZC,41,403,3059
40,siteptbr,0.0,1.0,0.0,0.0,2022-09-14 19:46:34+00:00,ValaAfshar,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should listen: https://t.co/I2kMipVg3n",123,3237,12258
41,tim_cook,0.0,0.829,0.171,0.6124,2022-09-12 22:23:33+00:00,olsencassidy,Darren aronofsky is like christian bale playing michael fassbender playing steve jobs https://t.co/zkS3SZ002w,109,2301,34356
42,TechEmails,0.0,1.0,0.0,0.0,2022-09-11 03:02:04+00:00,waitbutwhy,"Email from Steve Jobs to himself, September 2010. https://t.co/Rm6nXSsSpH",225,3220,25667
43,jsngr,0.0,1.0,0.0,0.0,2022-09-09 15:32:02+00:00,andykreed,steve jobs was only 21 when he founded apple. bill gates was only 20 when he started microsoft. mark zuckerberg was only 19 when he created facebook. it’s too late. you need to give up,757,28423,98326
44,edgatic,0.162,0.838,0.0,-0.4389,2022-09-09 13:00:42+00:00,pusholder,"Apple'ın kurucusu Steve Jobs'un kızı Eve Jobs, Apple'ın yeni iPhone 14 modeliyle dalga geçti. https://t.co/D3Lz2eDFFR",101,112,10424
45,PopBase,0.0,0.912,0.088,0.3612,2022-09-08 17:39:36+00:00,Darkwebhaber,"Steve Jobs’ın kızı, iPhone 14 ile dalga geçti. https://t.co/YzUwv4VZr6",38,95,7128
46,PopCrave,0.0,1.0,0.0,0.0,2022-09-08 17:10:30+00:00,johngreen,Never let the world forget that Steve Jobs named his daughter Eve Jobs.,87,314,12165
47,TMZ,0.0,1.0,0.0,0.0,2022-09-08 15:33:23+00:00,TrungTPhan,"When Steve Jobs unveiled the iPhone in Jan 2007, the maker of BlackBerry (Research in Motion, RIM) had a market cap near Apple's ($60B vs. $75B). 

Now, it’s $4B vs. $2.5T. 

While Jobs positioned iPhone perfectly, RIM made 5 decisions that led to its fall.

Here's a breakdown🧵 https://t.co/BirIsOgvEX",92,812,3877
48,yashar,0.0,1.0,0.0,0.0,2022-09-08 13:30:58+00:00,siteptbr,"Eve, filha do Steve Jobs, manda indireta para criadores do novo iPhone, dando a entender que o smartphone não inovou em nada:

""Eu atualizando do iPhone 13 pro 14 depois do anúncio da Apple hoje"". https://t.co/l0941D26W6",155,636,22417
49,CerfiaFR,0.0,1.0,0.0,0.0,2022-09-08 12:13:43+00:00,ValaAfshar,"Your time is limited, so don't waste it living someone else's life. —Steve Jobs. https://t.co/rSwl2nVlOz",48,1302,5326
50,ijustine,0.0,0.847,0.153,0.4404,2022-09-08 04:58:00+00:00,tim_cook,Steve’s legacy lives on in the company we are and the products and services we create. The Steve Jobs Archive was created as a place to spark a sense of possibility in everyone. https://t.co/MfgMuGV8IX,289,1694,9555
51,keyon,0.444,0.556,0.0,-0.4939,2022-09-08 03:14:37+00:00,TechEmails,"Steve Jobs emails himself

September 2, 2010 https://t.co/Amn8tTTrlH",237,5295,33581
52,onbirkursun,0.0,1.0,0.0,0.0,2022-09-08 03:06:55+00:00,jsngr,"Email from Steve Jobs to himself, 2010

""Steve often sent himself messages to capture what was on his mind."" 

https://t.co/EQaZdxASVw https://t.co/KJl2ExoJ3J",39,257,2038
53,til_feed,0.071,0.929,0.0,-0.2263,2022-09-08 01:12:07+00:00,edgatic,@PopCrave This is what we wanted… same crap every year since Steve Jobs left us! https://t.co/zumOaxuO5n,109,125,4758
54,SmuldersStefan,0.0,1.0,0.0,0.0,2022-09-08 00:50:56+00:00,PopBase,Steve Jobs’ daughter shares her opinion on the new iPhone 14 with meme. https://t.co/jgpO1bX2vk,87,263,3278
55,realchrisrufo,0.0,0.756,0.244,0.7003,2022-09-08 00:21:33+00:00,PopCrave,Steve Jobs' daughter throws jab at the new iPhone 14. https://t.co/MfijlzTKHI,985,15645,217139
56,PoliticalPunks,0.0,1.0,0.0,0.0,2022-09-08 00:14:19+00:00,TMZ,Steve Jobs' daughter says the new iPhone 14 is the same as the iPhone 13. https://t.co/ICmDT7x5Z4,406,1035,6273
57,karaswisher,0.04,0.745,0.215,0.8625,2022-09-07 21:48:48+00:00,yashar,"Eve Jobs, the daughter of Steve Jobs and Laurene Powell Jobs, reacts to today’s iPhone announcement on her Instagram. https://t.co/bfn2VtbpsA",76,446,3097
58,Business_Unions,0.0,0.788,0.212,0.5106,2022-09-07 17:23:24+00:00,CerfiaFR,"🇺🇸📱 FLASH | Eve Jobs, la fille de Steve #Jobs, se moque d’#Apple et de son nouvel #iPhone14 sur son compte Instagram. 

« Moi changeant mon iPhone 13 pour un iPhone 14 » 

(EveJobs) #AppleEvent https://t.co/92tSRfOjtE",50,806,6849
59,heykahn,0.0,0.783,0.217,0.807,2022-09-07 17:00:04+00:00,ijustine,Tim welcoming us into the Steve Jobs theater for the first time in 3 years 🙏🏻 #AppleEvent https://t.co/RJ99zjsViQ,26,303,3298
60,grantisdumb,0.0,1.0,0.0,0.0,2022-09-07 16:56:49+00:00,keyon,Even Steve Jobs feared her.,2,28,3578
61,alexgarcia_atx,0.079,0.687,0.234,0.8399,2022-09-04 00:52:46+00:00,ValaAfshar,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should watch: https://t.co/I2kMipVg3n",49,1177,4241
62,APompliano,0.0,1.0,0.0,0.0,2022-08-30 16:06:27+00:00,onbirkursun,steve jobs’ın gelini sanki aq triplere bak https://t.co/XdSNdTaPPq,11,25,3240
63,UliKuenzel,0.0,0.818,0.182,0.7902,2022-08-29 18:42:08+00:00,til_feed,"TIL: Steve Jobs offered Linus Torvalds, the creator of Linux a job at Apple under the condition he stopped developing for Linux. He declined the job offer.",46,304,3625
64,nytimes,0.08,0.826,0.094,0.1531,2022-08-28 12:57:26+00:00,JonErlichman,Steve Jobs on Nike: https://t.co/fX5Yvf6rgv,43,764,4926
65,BBCBreaking,0.0,0.88,0.12,0.3818,2022-08-25 14:02:07+00:00,SmuldersStefan,"Steve Jobs was undeniably a genius.

But Tim Cook took Apple from $153B to $3T over the last 11 years. (20x increase)
 
Here are 9 lessons from the underrated CEO: https://t.co/R7aOMbSXk9",192,1953,9512
66,LeStoof,0.065,0.935,0.0,-0.4588,2022-08-25 02:23:16+00:00,realchrisrufo,"Flashback: Steve Jobs makes a brilliant case for universal school choice. Governor @DougDucey just created this exact system in Arizona.
https://t.co/9D2mvzy3e0",67,841,2856
67,Carnage4Life,0.065,0.86,0.076,0.1078,2022-08-24 21:27:15+00:00,PoliticalPunks,"Based Steve Jobs 

#SteveJobs https://t.co/ouZLVNxDPV",143,2700,7631
68,PhilOfLife_,0.0,1.0,0.0,0.0,2022-08-23 18:25:23+00:00,karaswisher,"This will be my last session of Code after 20 years. I thought it critical to gauge the impact of the tech icon who was the very 1st interview: Steve Jobs. So, I am bringing together the trio who knew him best to discuss his lasting impact: @tim_cook @laurenepowell and Jony Ive. https://t.co/XIN7Ww9G18",159,483,5176
69,SeffSaid,0.0,0.61,0.39,0.8519,2022-08-23 12:50:41+00:00,Business_Unions,"If You're An Entrepreneur or Want To Be, Watch These 10 Videos:

1. Steve Jobs on passion https://t.co/Q0AQ7wJsGf",38,1552,4326
70,nathanbaugh27,0.0,0.881,0.119,0.4754,2022-08-23 01:46:30+00:00,ValaAfshar,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should watch: https://t.co/I2kMipVg3n",199,4238,15703
71,EdRaposo_,0.0,1.0,0.0,0.0,2022-08-22 13:04:54+00:00,heykahn,"Steve Jobs said:

“The most powerful person in the world is the storyteller.”

Legendary brands like Apple and Nike are built on storytelling.

Here's the simple 7 step framework to help you master storytelling:",275,5675,26074
72,johnrich,0.15,0.638,0.211,0.5673,2022-08-22 00:55:38+00:00,grantisdumb,steve jobs in 2001 https://t.co/vjbJ4tj8OZ,4,443,11254
73,Wifesucker,0.265,0.53,0.205,-0.34,2022-08-20 23:10:36+00:00,JonErlichman,"In 1983, Steve Jobs typed this reply to a letter asking for his autograph: https://t.co/ZIdOuMgxp1",435,3999,74284
74,Scobleizer,0.0,1.0,0.0,0.0,2022-08-18 23:14:30+00:00,ValaAfshar,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should listen: https://t.co/I2kMipVg3n",97,1739,6595
75,charliekirk11,0.0,1.0,0.0,0.0,2022-08-17 18:34:00+00:00,UberFacts,"Apple employees used to present an annual award to the person who best stood up to Steve Jobs

Jobs was a fan of it",6,139,2651
76,fuedicho,0.05,0.95,0.0,-0.296,2022-08-15 17:22:24+00:00,ValaAfshar,A marketing masterclass by Steve Jobs https://t.co/I2kMipVg3n,127,3416,12185
77,PsyPapers,0.0,1.0,0.0,0.0,2022-08-15 07:31:00+00:00,UberFacts,Steve Jobs never wrote a single line of computer code,86,560,5936
78,_Eduphile,0.0,1.0,0.0,0.0,2022-08-15 01:31:01+00:00,UberFacts,"Steve Jobs named his company Apple partly because it would appear in the phone book before his previous employer, Atari",29,311,4556
79,dril,0.0,1.0,0.0,0.0,2022-08-15 01:23:02+00:00,siteptbr,1 - Steve Jobs anunciava o 1º iPad laçado pela Apple. https://t.co/DViAI6KgA1,4,20,1917
80,JakeSherman,0.0,0.72,0.28,0.8658,2022-08-14 14:20:10+00:00,alexgarcia_atx,"In 2007 Steve Jobs changed the cell phone industry with the iPhone forever.

To create demand, he created a problem to sell a solution.

The mastery comes in how he positioned and differentiated the iPhone.

Here's a step-by-step breakdown: https://t.co/CYGJowoq7n",141,2306,11088
81,TechBroDrip,0.0,1.0,0.0,0.0,2022-08-13 16:17:02+00:00,APompliano,"If Steve Jobs wanted you to use your iPhone with a case, he would have built it into the device.",506,269,3496
82,Ranboosaysstuff,0.213,0.787,0.0,-0.4018,2022-08-11 12:25:58+00:00,UliKuenzel,"Where Steve Jobs learned storytelling:

PIXAR

The animation studio making $ billions with captivating stories.

In 2011 they shared their ‘22 Rules of Storytelling’. A treasure trove.

Here are their 9 most effective rules - explained.

Let’s start with the least obvious: https://t.co/8y8lfCtNhZ",67,735,3603
83,SteveOnSpeed,0.327,0.673,0.0,-0.9439,2022-08-11 06:16:44+00:00,asIiceofhistory,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should listen: https://t.co/9alaJwTnD5",185,4421,18905
84,tyooning,0.0,1.0,0.0,0.0,2022-08-10 16:25:35+00:00,ValaAfshar,"You know how many committees we have at Apple? 

Zero. We are organized like a startup. —Steve Jobs https://t.co/aNQFIq4fsT",41,716,2745
85,enginalemdar,0.0,1.0,0.0,0.0,2022-08-09 19:38:33+00:00,ValaAfshar,"You can go to school and spend years trying to learn about great marketing.

Or you can spend a few minutes watching Steve Jobs - all marketers should listen: https://t.co/I2kMipVg3n",213,4798,17545
86,snakajima,0.0,1.0,0.0,0.0,2022-08-09 12:05:07+00:00,nytimes,"Issey Miyake, the Japanese designer whose name became a global byword for cutting-edge fashion in the 1980s, died on Aug. 5. He was 84.

Best known for his origami-like designs, he also produced Steve Jobs’s signature black turtleneck.
https://t.co/XLgkSfqgzR https://t.co/RZasuihO7q",43,1477,4510
87,byron_queen,0.138,0.862,0.0,-0.34,2022-08-09 09:00:59+00:00,BBCBreaking,"Japanese fashion designer Issey Miyake, known for his bold style, fragrances and Steve Jobs' turtle necks, dies aged 84

https://t.co/ncvKVamwlP",130,1225,2858
88,johnnjenga,0.0,1.0,0.0,0.0,2022-08-06 14:23:38+00:00,TechEmails,"Steve Jobs negotiates Apple's deal with Microsoft

July 24, 1997 https://t.co/OQvkyk9qmF",19,307,3006
89,thesecret,0.118,0.882,0.0,-0.34,2022-08-06 10:05:15+00:00,LeStoof,"On a faillit tromper ma tante, cette dernière vient voir mon père pour lui dire qu’elle a trouvé un mari via les RS .. mon père demande à voir la photo du gars en question... devinez quoi ? c’était Steve Jobs. 😂😂Désolé mais j’ai fondu en larme djo 🤣",24,602,2123
90,Mrwhosetheboss,0.0,0.754,0.246,0.4466,2022-08-05 15:26:24+00:00,ValaAfshar,A marketing masterclass by Steve Jobs https://t.co/I2kMipVg3n,28,1222,3971
91,agarwal__gaurav,0.0,0.934,0.066,0.3818,2022-08-05 10:48:37+00:00,Carnage4Life,Satya Nadella belongs in the CEO hall of fame. I’d say he edges out Steve Jobs simply because he turned around Microsoft without the benefit of the clout that comes from being the founder. https://t.co/wSge0SHa4L,83,275,2776
92,waltmossberg,0.0,0.947,0.053,0.3182,2022-08-02 10:47:29+00:00,PhilOfLife_,"10 Netflix movies that will Change the way you see the World

1. Steve Jobs https://t.co/sxRqq8NHqf",24,1144,4002
93,Claramore_,0.054,0.946,0.0,-0.3595,2022-07-28 10:59:00+00:00,SeffSaid,"""Don’t let the noise of others opinions drown out your own inner voice."" - Steve Jobs",15,760,3640
94,kocienda,0.0,1.0,0.0,0.0,2022-07-26 13:04:09+00:00,SahilBloom,"I think about this Steve Jobs quote a lot…

When creating anything, take pride in carrying the quality all the way through.

Ask yourself: Would I be proud for my work to be seen from every single angle and perspective?

If not, there's more work to be done. https://t.co/wlsjsQUrXq",78,586,4872
95,derek8185338254,0.193,0.745,0.062,-0.802,2022-07-23 12:39:39+00:00,nathanbaugh27,"Nail the hook

It doesn’t matter how incredible the rest of your story is if nobody sticks around for it.

A few guidelines:
• Punchy
• Short
• “Big if true”

Here’s the hook Steve Jobs used for the iPhone product launch: https://t.co/0OiNWor5CB",10,111,3346
