,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
264,medi__213,0.0,1.0,0.0,0.0,2022-10-15 20:06:49+00:00,_kalemba_,"@certifloverboi @_la_feuille @vranvs7 @athnas99 IPhone 6 c’est pareil, là je compte sur Tim il a du matos askip",0,0,2
265,FireTeaMFr,0.0,1.0,0.0,0.0,2022-10-15 20:06:28+00:00,limputabilite,Pk Apple a arrêté de faire les iphone S ?,1,0,0
266,SinbadBoi_,0.061,0.939,0.0,-0.128,2022-10-15 20:05:23+00:00,LucasTherr,Tweet comme un mec encore sous iPhone 7 https://t.co/MxOB3JcQcV,0,0,0
267,MarianaFrancoLT,0.0,1.0,0.0,0.0,2022-10-15 20:04:16+00:00,sango_axel,"@I_am_Naomiiiiii Ensuite il y à des applications payantes ultra professionnelle que je peux avoir sur Android, que je n'arrive pas à avoir sur ce système car il faut payer...😅 Je suis en Afrique j'ai besoin de plus d'ouverture et de free 
Le free surf orange et MTN est difficile sur iPhone",0,0,1
268,TonyDucrocq,0.0,1.0,0.0,0.0,2022-10-15 20:04:12+00:00,French_Sheep,"@NandryStephane @DreinLD @OkashiraXIV @NevO_R5 @Tofeur_F1 Pourtant c’est vrai, sur le papier les iphone c’est de la merde mais dans les faits c’est tres different",1,0,5
269,Markopolo0208,0.058,0.942,0.0,-0.5204,2022-10-15 20:03:33+00:00,Rapha19blv,@SinbadBoi_ Pareil sur iPhone 11 Pro,0,0,2
270,LaRouille666,0.067,0.933,0.0,-0.3818,2022-10-15 20:03:26+00:00,robs_jl,"Les utilisateurs Android ils veulent trop prouver ""gnangnana nous on a ça depuis sur Android"" ouais bah je parle aux utilisateurs iPhone pas aux gueux , pourquoi t'interagis  ?",1,3,5
271,iam_eenzooo,0.0,1.0,0.0,0.0,2022-10-15 20:03:21+00:00,Invinsed,"@davidaknin69 @Tofeur_F1 Les détenteurs d'iPhone ils sont un peu comme ceux qui achètent des SUV hors de prix en croyant qu'en payant cher ils ont acheté une superbe voiture tout terrain, alors qu'au premier virage sec la caisse se retourne.",1,0,11
272,JuniorMalong,0.0,1.0,0.0,0.0,2022-10-15 20:03:15+00:00,XtalXtal1,@Tofeur_F1 @Aizen_75 mdrrrr moi je revends cette merde d’iPhone 12 le mois prochain,0,0,0
273,AlgerienSerein,0.0,1.0,0.0,0.0,2022-10-15 20:01:42+00:00,CheapFastSrvc,#Retweet Essayer de gagner un #IPHONE 12 Pro Rouge sur se site suivant https://t.co/QB1mL4BstA #giveaway #follow,0,0,0
274,SedoZed,0.0,1.0,0.0,0.0,2022-10-15 20:01:20+00:00,cyasminesah,@_Savastano T’as l iPhone combien ?,1,0,0
275,thesilverkebab,0.039,0.961,0.0,-0.128,2022-10-15 20:00:55+00:00,cubanaa537,"Un vieil iPhone 7, bail de mec infidèle",0,0,0
276,chimpearls,0.0,1.0,0.0,0.0,2022-10-15 20:00:45+00:00,YceeMkd,@NoxtaBene Mais wsh mon iPhone 11 est à 75%,1,0,0
277,Ryugukyoji,0.0,1.0,0.0,0.0,2022-10-15 20:00:24+00:00,Maxime165307522,"@ericcoquerel Peut-être mais combien de ces gens préfèrent dépenser pour des conneries consumériste plutôt que d’investir???? C ça la question. Je suis ouvrier, ma femme aussi et on a des actions pour nos vieux jours, mais on ne s’achète pas le dernier iPhone et on mange pas Mc Do 2x/s",0,0,7
278,Ljiljana_pvl,0.0,1.0,0.0,0.0,2022-10-15 19:58:46+00:00,Morgurgh,"@au33eme Autant je comprends qu'on relève qu'un iPhone soit montre d'une certaine aisance financière moins généralisable aux Androïd, autant j'ai du mal à comprendre en quoi ils seraient davantage polluants ?",1,0,0
279,BSoD93366089,0.036,0.964,0.0,-0.2003,2022-10-15 19:58:37+00:00,Leanaams,Avoir un iphone 11 pour qu’il fonctionne comme un wiko,0,0,0
280,AizenSosuke75,0.0,1.0,0.0,0.0,2022-10-15 19:58:25+00:00,mamatt500,@JeromeColombain J'ai un amis ça lui est arrivé avec un iphone aussi donc....,0,0,0
281,jeanluboyaoffi,0.0,1.0,0.0,0.0,2022-10-15 19:58:12+00:00,Siahnna,@Tofeur_F1 Bof. J'ai vite quitté iPhone.,0,0,0
282,imad_paname,0.0,1.0,0.0,0.0,2022-10-15 19:58:03+00:00,Pope_Corn,"@Joshtuner9 @NovaRmi1 @Tofeur_F1 J’ai android pour boulot et iphone perso, franchement systeme android c’est affreux! Niveau hardware samsung devant mais niveau software y a pas a dire, apple loin devant",2,0,0
283,j_karenxv,0.0,1.0,0.0,0.0,2022-10-15 19:58:03+00:00,alexjr_dallas,"@Debochada_Luci iPhone 8 Plus, vem",0,0,0
284,viviaperpetua,0.0,1.0,0.0,0.0,2022-10-15 19:58:01+00:00,robs_jl,@Perzceval Lis l'article ils ont dit ça va fonctionner avec l'iPhone éteint,0,0,0
285,lnnerMoonchild,0.0,1.0,0.0,0.0,2022-10-15 19:58:01+00:00,PatouMail,"çà sert à quoi un "" iPhone "" ? https://t.co/rzHOtCeQJ5 https://t.co/HhQoAYyvlo",0,0,0
286,La_Vegz,0.0,1.0,0.0,0.0,2022-10-15 19:57:58+00:00,Anna66129683,Configuration l’iPhone pour qu’il signale quand il veut pleuvoir en 2022 https://t.co/yu52S1LB9Y via @NewTuto,0,0,0
287,JeremAlleyrat,0.062,0.938,0.0,-0.2168,2022-10-15 19:56:23+00:00,EyStz_,@fenaiaaljaza2ri Generation ghetto youth pas d’Iphone la kalash en reveil pas le temps de faire ces bêtises,1,0,0
288,U_JohnBlev_U,0.086,0.914,0.0,-0.3527,2022-10-15 19:55:24+00:00,zolaslg,@Maelatib Franchement ça dépend t’as quoi comme téléphone maintenant si t’as l’iPhone 13 je pense que ça en vaut pas la peine parce que ça change rien,1,0,1
289,valoch_on_ftn,0.0,1.0,0.0,0.0,2022-10-15 19:54:23+00:00,YvanDEHEME,@sandrousseau Jette ton iPhone alors et utilise un pigeon voyageur !,0,0,0
290,MpingaDivin,0.0,1.0,0.0,0.0,2022-10-15 19:54:01+00:00,fujimitsu_dase2,@TotemTherian Mec ta vu l'iPhone 6 il va bientôt sortir ?,1,0,4
291,khalifa_68,0.0,1.0,0.0,0.0,2022-10-15 19:53:28+00:00,FenyomY,@OnlyTayo N'essaie pas de voir ce qu'il y'a dans l'iphone,1,0,0
292,Apple_Geek_Actu,0.0,1.0,0.0,0.0,2022-10-15 19:52:07+00:00,jupntl,mardi normalement j’ai mon iphone 14🙂,0,0,0
293,JoelKanda,0.0,1.0,0.0,0.0,2022-10-15 19:51:15+00:00,OluseyePrecious,@vipvendor IPhone 8plus,0,0,0
294,ericmorand,0.0,0.93,0.07,0.34,2022-10-15 19:50:14+00:00,Digitaltrans4mF,"Apple IPhone 12 Est Le Téléphone 5G Le Plus Populaire En Inde, Selon Un Rapport - https://t.co/h9UoZRaR1Q #TransfoNum #5G https://t.co/skNsAvwfA7",0,0,0
295,Noah26325690,0.066,0.905,0.029,-0.3612,2022-10-15 19:50:04+00:00,linah493,@Max_2_kid @jeanne_orl Le j’ai utilisé le iPhone jusqu’à est une manière de faire genre si on follow ta logique,1,0,1
296,alnlnaa,0.115,0.885,0.0,-0.3818,2022-10-15 19:49:42+00:00,randyorton_guts,@landryokala237 @I_am_Naomiiiiii Vous utilisez un iPhone 7 ou quoi ?,0,0,0
