,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
24,matthewstoller,0.227,0.639,0.134,-0.7579,2022-09-23 23:36:09+00:00,tim_cook,"When you encounter portraiture shot by the extraordinary Brigitte Lacombe on iPhone 14 Pro Max, you have to stop and stare. https://t.co/QX8Renwivu",204,309,5648
25,Carnage4Life,0.036,0.964,0.0,-0.2023,2022-09-21 00:11:48+00:00,tim_cook,"Our hearts are with all the people of Puerto Rico as they come together to rebuild once again. We will donate to assist with immediate relief and ongoing recovery efforts. To everyone still in the path of Hurricane Fiona, please stay safe.",301,436,5331
26,heydannymiranda,0.0,1.0,0.0,0.0,2022-09-16 17:16:51+00:00,tim_cook,"Great spending time with our teams and customers at Apple Fifth Avenue, Apple Upper West Side, and Apple Upper East Side. I ❤️ NY! https://t.co/W1HNrt9cMm",407,606,9585
27,mmpadellan,0.0,1.0,0.0,0.0,2022-09-16 15:40:17+00:00,tim_cook,So excited for our customers to experience the magic of our latest products. A day like today has been years in the making — thank you to everyone that’s made it possible! https://t.co/IeRPWb0Gwp,581,1044,15523
28,vladsavov,0.151,0.849,0.0,-0.1531,2022-09-13 03:51:32+00:00,tim_cook,"There must be magic on the pitch at @AFCRichmond because @TedLasso and the Diamond Dogs have done it again. Congratulations to the cast, crew, and all involved at @AppleTVPlus on your Emmy wins! https://t.co/owyZGen3RS",216,465,7370
29,yippeekiyay_dk,0.114,0.886,0.0,-0.4497,2022-09-08 18:30:53+00:00,tim_cook,There is nothing more noble than to devote your life to the service of others. We stand with the people of the UK and Commonwealth in honoring the life and dedication to duty of her Majesty Queen Elizabeth II. May she rest in peace. https://t.co/GkLpqyovlh,557,4012,39299
30,RichardGrenell,0.0,1.0,0.0,0.0,2022-09-08 04:58:00+00:00,tim_cook,Steve’s legacy lives on in the company we are and the products and services we create. The Steve Jobs Archive was created as a place to spark a sense of possibility in everyone. https://t.co/MfgMuGV8IX,289,1694,9555
31,JoJoFromJerz,0.07,0.873,0.057,-0.1531,2022-09-08 04:26:18+00:00,tim_cook,"Here’s all the big news from the Apple Event. Introducing iPhone 14 Pro, iPhone 14, Apple Watch Ultra, Apple Watch Series 8, and AirPods Pro. https://t.co/kFDeU2bdUl",675,2313,16429
32,CarlosLoret,0.0,1.0,0.0,0.0,2022-09-08 03:18:08+00:00,reckless,"""I don't hear our users asking that we put a lot of energy"" into RCS, says Tim Cook in response to a question at Code. ""I would love to convert you to an iPhone."" 

""I can't send my mom certain videos,"" says the questioner.

""Buy your mom an iPhone,"" says Tim.",255,268,2856
33,Beccamford,0.0,0.634,0.366,0.8176,2022-09-08 00:04:20+00:00,ijustine,Always great running into @tim_cook at the #AppleEvent ! https://t.co/P8FWO98cyK,202,700,22016
34,Tananai5,0.0,1.0,0.0,0.0,2022-09-07 22:01:39+00:00,tim_cook,"It was a great day at Apple Park, introducing the world to products that are essential to our daily lives and that work seamlessly together. #AppleEvent https://t.co/Bolbc5V33E",578,2144,21443
35,niravmistry,0.0,0.901,0.099,0.296,2022-09-07 13:00:32+00:00,tim_cook,Good morning! Looking forward to a stellar Apple event. https://t.co/8rwWBwX79V,1175,4091,43708
36,fitotoledano,0.0,1.0,0.0,0.0,2022-09-02 16:40:45+00:00,tim_cook,"We're thinking of the people of Jackson, Mississippi who are struggling for that most basic of necessities this summer — clean water. Apple is donating to relief efforts on the ground aimed at distributing food and water immediately.",310,430,6857
37,FedorovMykhailo,0.054,0.793,0.153,0.6588,2022-08-31 14:21:09+00:00,tim_cook,"The floods in Pakistan and surrounding areas are devastating humanitarian disasters. Our thoughts are with those that have lost loved ones, the many displaced families, and all those affected. Apple will donate to relief and recovery efforts on the ground.",1613,6708,39548
38,DukeMBB,0.0,1.0,0.0,0.0,2022-08-25 14:02:07+00:00,SmuldersStefan,"Steve Jobs was undeniably a genius.

But Tim Cook took Apple from $153B to $3T over the last 11 years. (20x increase)
 
Here are 9 lessons from the underrated CEO: https://t.co/R7aOMbSXk9",192,1953,9512
39,RBReich,0.236,0.674,0.091,-0.6808,2022-08-23 18:25:23+00:00,karaswisher,"This will be my last session of Code after 20 years. I thought it critical to gauge the impact of the tech icon who was the very 1st interview: Steve Jobs. So, I am bringing together the trio who knew him best to discuss his lasting impact: @tim_cook @laurenepowell and Jony Ive. https://t.co/XIN7Ww9G18",159,483,5176
40,ajplus,0.087,0.913,0.0,-0.5267,2022-08-19 17:57:34+00:00,tim_cook,"The moment when sun, sand, and ocean meet. Thank you to @eoside for the stunning photo shot on iPhone 13 Pro — a perfect image to celebrate #WorldPhotographyDay! 🌅 https://t.co/dzVFIiJNch",264,524,8394
41,VibhorChandel,0.0,0.945,0.055,0.3818,2022-08-15 04:09:46+00:00,tim_cook,"Congratulations to the incredible cast and crew behind Severance and Ted Lasso on @AppleTVPlus for winning Best Drama and Best Comedy at tonight’s Hollywood Critics Association TV Awards! Proud of the Richmond footballers and Lumon’s macrodata refiners (and their outies, too).",244,451,7069
42,Cokedupoptions,0.132,0.828,0.04,-0.4949,2022-08-01 00:41:31+00:00,tim_cook,"Our hearts are with everyone impacted by the devastating floods in Kentucky and surrounding states. To everyone in harm’s way, please stay safe. Apple will be donating to community relief and recovery efforts.",328,409,5935
