,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
31,majornelson,0.09,0.721,0.189,0.296,2007-12-31 22:51:53+00:00,davewiner,"@groby, I think it's a huge security hole, and Apple is causing it. Worse than the malware situation on Windows, where they just ignored it.",0,0,0
32,DrCheriToledo,0.0,1.0,0.0,0.0,2007-12-31 22:47:27+00:00,haripakorss,"macTV: Apple Partners In Store Demo Winter 2007: Just in time before the bell tolls for 2008, we snuc.. http://tinyurl.com/ys9dhp",0,0,0
33,atomicbird,0.0,1.0,0.0,0.0,2007-12-31 22:45:13+00:00,groby,@davewiner Good luck. I hope you're setting something in motion @ Apple.,0,0,0
34,njl,0.0,1.0,0.0,0.0,2007-12-31 22:43:35+00:00,rachel_w,"@jaxn Last time we went to apple store, clerk asked Joel, ""can i help you find anything."" he said, ""yeah, my wife."" ;)",0,0,0
35,WickedGood,0.135,0.865,0.0,-0.5574,2007-12-31 22:43:21+00:00,davewiner,Screen shot of an email I sent to Steve jobs at Apple. http://x98.us/kt,0,0,0
36,Christiane,0.0,1.0,0.0,0.0,2007-12-31 22:41:35+00:00,nitin,"Top 9 Apple things I'd like to see in 2008
http://tinyurl.com/2q8zdq",0,0,0
37,wmnf,0.0,0.811,0.189,0.2732,2007-12-31 22:38:24+00:00,majornelson,"Well, my day is going well. My Mac just Gray screened. It is stuck at the Apple boot screen.",0,0,0
38,bettnet,0.0,1.0,0.0,0.0,2007-12-31 22:29:51+00:00,DrCheriToledo,My Mac and I are reunited - it took 4 days - San Diego Apple Store is so busy!!! Whoo-hoo I'm reconnected,0,0,0
39,nathanhaila,0.0,0.609,0.391,0.7947,2007-12-31 22:28:38+00:00,atomicbird,Finding and fixing major bugs in an Apple code tutorial.  Maybe they do it on purpose to see if I'm paying attention?,0,0,1
40,tiglu,0.0,1.0,0.0,0.0,2007-12-31 22:28:01+00:00,atomicbird,Doing an Apple code tutorial.,0,0,0
41,if0x,0.0,1.0,0.0,0.0,2007-12-31 22:25:30+00:00,njl,Saw the 5th Avenue Apple store in New York City. It was nickin' futz.,0,0,0
42,Meganekko,0.0,1.0,0.0,0.0,2007-12-31 22:21:07+00:00,WickedGood,"@bloggersblog: Isn't that comparing apples and oranges, though?",0,0,0
43,rustybrick,0.0,1.0,0.0,0.0,2007-12-31 22:20:38+00:00,Christiane,Eating Apple Waffle Crunsh,0,0,0
44,arnold,0.0,0.744,0.256,0.6696,2007-12-31 22:19:51+00:00,wmnf,The Apples in Stereo -- Energy -- New Magnetic Wonder,0,0,0
45,jaxn,0.0,1.0,0.0,0.0,2007-12-31 22:12:02+00:00,bettnet,Just back from Apple Store again. There twice today. My replacement MBPro battery came in today. That's fast.,0,0,0
46,Market_JP,0.102,0.898,0.0,-0.3818,2007-12-31 22:11:27+00:00,nathanhaila,really enjoying my new Apple Keyboard!  Much more like typing on my laptop!,0,0,0
47,davinwarter,0.268,0.732,0.0,-0.6597,2007-12-31 22:08:00+00:00,wifier,"TUAW Filed under: Apple Financial, AppleWill 2008 be the year of Apple? I thought 2007 was the year of.. http://tinyurl.com/2acv7v",0,0,0
48,jowyang,0.0,0.758,0.242,0.7506,2007-12-31 22:06:13+00:00,tiglu,Oven pre-heating as I listen to The Apple Phone Show.,0,0,0
49,vanity,0.0,0.511,0.489,0.9528,2007-12-31 22:05:03+00:00,if0x,Eating home-made apple crumble.,0,0,0
50,SmileyBarry,0.195,0.805,0.0,-0.68,2007-12-31 21:58:55+00:00,Meganekko,"making baked apples, mm",0,0,0
51,dccrowley,0.0,1.0,0.0,0.0,2007-12-31 21:58:20+00:00,myfeed,"TUAW Motley Fool declares Apple stock of 2008: Filed under: Apple Financial, AppleWill 2008 be the yea.. http://tinyurl.com/2acv7v",0,0,0
52,amerjit,0.0,0.872,0.128,0.3612,2007-12-31 21:54:59+00:00,rustybrick,"someone asked me this morning, ""what should I look for when buying a new computer?"" I responded, ""look for an apple logo.""",0,0,0
53,WELLO,0.117,0.766,0.117,0.0,2007-12-31 21:46:51+00:00,arnold,This is what I get for not going onto intarwebs for a couple of days... Looks like iPhone 1.1.3 has multiple SMS recipients. Thanks Apple.,0,0,0
54,laurentk,0.0,1.0,0.0,0.0,2007-12-31 21:46:17+00:00,haripakorss,"Motley Fool declares Apple stock of 2008: Filed under: Apple Financial, AppleWill 2008 be the year of.. http://tinyurl.com/2acv7v",0,0,0
55,christmaslounge,0.0,1.0,0.0,0.0,2007-12-31 21:41:04+00:00,jaxn,going to the Apple store to buy a new computer (for someone else).,0,0,0
56,Scobleizer,0.0,0.861,0.139,0.4404,2007-12-31 21:37:47+00:00,Market_JP,"Brunswick News

News Corp., Apple Likely to Rent Fox Films Via iTunes
FOX News - 2 hours ago
By Amanda Andrews News Corporation and Appl ...",0,0,0
57,KitSeeborg,0.0,0.769,0.231,0.4019,2007-12-31 21:37:44+00:00,Market_JP,"Brunswick News

News Corp., Apple Likely to Rent Fox Films Via iTunes
FOX News - 2 hours ago
By Amanda Andrews News Corporation and Appl ...",0,0,0
58,gerardogm,0.135,0.865,0.0,-0.1027,2007-12-31 21:22:57+00:00,davinwarter,Killing time at work. Pondering bring Apples to Apples to thing at Ruckus's,0,0,0
59,fredericg,0.0,1.0,0.0,0.0,2007-12-31 21:20:46+00:00,jowyang,"He suggests that it's satisfaction &gt; loyalty &gt; affinity (highest level, someone likely to defend a product or brand) Apple has man ...",0,0,1
